Chromosome	Position_bp	Rate
chrX	0	5.87362626006189e-07
chrX	500	4.15270358471616e-06
chrX	1000	4.73190639630753e-05
chrX	1500	0.000638805059794454
chrX	2000	2.31389242550365e-07
chrX	2500	3.96306535248333
chrX	3000	2.66366414852226
chrX	3500	0.194673461801726
chrX	4000	5.78137323148457e-06
chrX	4500	8.82574126447816e-07
chrX	5000	2.27488311436625e-14
chrX	5500	2.47533774495091e-05
chrX	6000	0.00056536676157284
chrX	6500	1.98049401611766e-21
chrX	7000	0.303663798580258
chrX	7500	2.78239379859781e-11
chrX	8000	0.000132714232122421
chrX	8500	12.8301462768896
chrX	9000	3.48449164902255
chrX	9500	0.000147269631177473
chrX	10000	9.29305923797736e-05
chrX	10500	2.07093496714664e-10
chrX	11000	4.38682032999978e-06
chrX	11500	0.036878247172331
chrX	12000	0.0015628879245398
chrX	12500	0.104719824691386
chrX	13000	3.04858277713259e-05
chrX	13500	0.461614702097075
chrX	14000	0.000970979965125975
chrX	14500	0.00795662702334035
chrX	15000	0.000444652796055786
chrX	15500	1.10918086816479e-11
chrX	16000	0.00380760367661082
chrX	16500	0.249298415646646
chrX	17000	0.0635704760626788
chrX	17500	4.24187783943166e-06
chrX	18000	0.217995039342436
chrX	18500	8.82469538544189e-05
chrX	19000	1.60385413136743
chrX	19500	0.000220612240195318
chrX	20000	0.21449119192622
chrX	20500	0.153197578621194
chrX	21000	0.000375904898152615
chrX	21500	0.000224915140905243
chrX	22000	8.16548215168694
chrX	22500	4.08144554009425e-06
chrX	23000	0.00161059170571407
chrX	23500	0.284325186560641
chrX	24000	0.0116622276718095
chrX	24500	0.224630992578455
chrX	25000	0.0972050018249788
chrX	25500	0.0237959711773626
chrX	26000	0.000865843671487559
chrX	26500	0.000110494720735734
chrX	27000	0.000273107937506328
chrX	27500	0.279288917825462
chrX	28000	0.283100993392029
chrX	28500	0.387153384163548
chrX	29000	0.168465216765146
chrX	29500	9.42236292324029
chrX	30000	0.00497623214439288
chrX	30500	5.14227219936873
chrX	31000	1.85118242786103e-05
chrX	31500	0.108621571291299
chrX	32000	0.0326866216164874
chrX	32500	1.99974835552615e-07
chrX	33000	0.00798379407929133
chrX	33500	0.460256331232692
chrX	34000	28.8301407601846
chrX	34500	0.0160907657679311
chrX	35000	1.86317419878159e-06
chrX	35500	0.000776463346480805
chrX	36000	0.000125988621937834
chrX	36500	4.85080441149201e-09
chrX	37000	0.0027162398102888
chrX	37500	0.0107669537341482
chrX	38000	1.29911243857397e-07
chrX	38500	4.00112234275813e-09
chrX	39000	0.00941549891202807
chrX	39500	0.0159436373647241
chrX	40000	2.49144595187263e-05
chrX	40500	1.30958239465491e-07
chrX	41000	0.00523280144039302
chrX	41500	8.53987757943225e-05
chrX	42000	0.000319984163888361
chrX	42500	8.20336416830758
chrX	43000	9.37449087141747e-12
chrX	43500	0.0203632325829076
chrX	44000	0.045842791408505
chrX	44500	7.26223302125471e-05
chrX	45000	28.9769338613415
chrX	45500	2.51857236825898
chrX	46000	3.03991271886946e-08
chrX	46500	13.3160407902485
chrX	47000	0.000181479691414752
chrX	47500	9.69223152226655
chrX	48000	0.000105955671214717
chrX	48500	4.8219519904704e-10
chrX	49000	4.56659517881132
chrX	49500	0.474061999703095
chrX	50000	0.0207177422166108
chrX	50500	0.358625664582403
chrX	51000	0.380679511553012
chrX	51500	0.325448083260262
chrX	52000	0.00212128808625351
chrX	52500	0.00106372096140312
chrX	53000	1.41410296181392e-05
chrX	53500	2.77601360094737e-13
chrX	54000	7.78860184435913e-05
chrX	54500	1.0818402896542
chrX	55000	0.0375295426709336
chrX	55500	0.0122453884489763
chrX	56000	0.0126980836929563
chrX	56500	4.15564171088965
chrX	57000	2.25468752338385
chrX	57500	0.000668111509405105
chrX	58000	0.00185792911501191
chrX	58500	0.00258599704948607
chrX	59000	0.00872854525319725
chrX	59500	1.67015661616284e-06
chrX	60000	2.49811775767867
chrX	60500	0.158500904011031
chrX	61000	0.0215561430752636
chrX	61500	0.00245529213119774
chrX	62000	2.04219325765374e-09
chrX	62500	0.000396408220446885
chrX	63000	0.242406123001841
chrX	63500	0.0421952741306455
chrX	64000	0.322186618620794
chrX	64500	2.5998298158324
chrX	65000	8.33003729700739e-05
chrX	65500	9.29706134077812e-08
chrX	66000	2.4827619641422e-13
chrX	66500	0.0451364118658835
chrX	67000	2.69394758757192e-09
chrX	67500	0.572294953528548
chrX	68000	0.00882402122446206
chrX	68500	6.98923813978602
chrX	69000	0.267560644039933
chrX	69500	0.160094145814888
chrX	70000	3.11853568383436e-06
chrX	70500	0.701614776234653
chrX	71000	3.23102324203165e-07
chrX	71500	1.35435298166317
chrX	72000	0.00271468403129257
chrX	72500	0.0220296373345246
chrX	73000	0.0430262318593379
chrX	73500	0.285562643936003
chrX	74000	6.45604282401184e-08
chrX	74500	0.0097300230402857
chrX	75000	0.0192902858415161
chrX	75500	5.6895833464565
chrX	76000	0.0701320655388621
chrX	76500	4.07614601993043e-11
chrX	77000	2.2642435180106e-05
chrX	77500	0.0553649960436091
chrX	78000	2.85366189152301e-05
chrX	78500	0.671765374201898
chrX	79000	0.0201193464090818
chrX	79500	1.79857766896771e-06
chrX	80000	0.720303975921874
chrX	80500	0.0139611805582446
chrX	81000	0.000259765430621017
chrX	81500	0.879816280510549
chrX	82000	1.43063703797536
chrX	82500	0.0458728871606863
chrX	83000	0.280991490878569
chrX	83500	6.02440790021656e-06
chrX	84000	2.59069797558636e-09
chrX	84500	4.18237750652153
chrX	85000	0.00119532195769623
chrX	85500	6.5315349545544e-05
chrX	86000	0.00113185739355197
chrX	86500	0.697508566215314
chrX	87000	0.0817826678182356
chrX	87500	1.39410637303384e-11
chrX	88000	0.00398666733520073
chrX	88500	1.13514299205363
chrX	89000	0.705349781451516
chrX	89500	0.00843577523052892
chrX	90000	0.685900276365481
chrX	90500	2.84563508942235e-08
chrX	91000	0.199614511653734
chrX	91500	2.35087644549588e-09
chrX	92000	0.0223145510523774
chrX	92500	0.0028397403920908
chrX	93000	1.69659474766316
chrX	93500	0.00977893138734449
chrX	94000	0.00217277729090297
chrX	94500	0.224033142834483
chrX	95000	1.10454197120952e-07
chrX	95500	0.00360676461015643
chrX	96000	1.84056809462766
chrX	96500	4.17799569599426e-07
chrX	97000	1.05449881555934e-07
chrX	97500	0.0435231397965591
chrX	98000	12.2138776341729
chrX	98500	0.0106840570254977
chrX	99000	8.70686747145364e-05
chrX	99500	0.950088705934936
chrX	1e+05	3.89128150269394e-08
chrX	100500	9.90283554051149e-08
chrX	101000	0.023878550540018
chrX	101500	0.00407638112650923
chrX	102000	8.07092611788465
chrX	102500	1.73190195056339
chrX	103000	0.000778070592290014
chrX	103500	3.2949736842092e-05
chrX	104000	3.18128330564654
chrX	104500	0.513394149853651
chrX	105000	0.290981186166797
chrX	105500	2.15298092740855
chrX	106000	0.445717256691771
chrX	106500	0.0314656152670164
chrX	107000	0.0193193149305322
chrX	107500	0.0267928562740993
chrX	108000	0.0106621305439652
chrX	108500	0.174701572092838
chrX	109000	0.0036539370776257
chrX	109500	12.5943214721418
chrX	110000	9.83248683171346
chrX	110500	0.00112357645317723
chrX	111000	0.0024542899303241
chrX	111500	0.37128699421927
chrX	112000	0.000206712308770141
chrX	112500	1.57978349647592e-06
chrX	113000	0.00138345223954294
chrX	113500	2.3255886251607e-05
chrX	114000	2.69111374506964e-08
chrX	114500	9.13386824231068e-06
chrX	115000	8.42620397666942e-06
chrX	115500	9.85713690742593
chrX	116000	0.000243495455343574
chrX	116500	4.44815978352059
chrX	117000	0.003113463326112
chrX	117500	2.03682341095453e-12
chrX	118000	0.00188422152860151
chrX	118500	0.000397132122803361
chrX	119000	0.00384190001883507
chrX	119500	0.203789674451238
chrX	120000	0.0068075857538426
chrX	120500	2.25615134152449e-14
chrX	121000	7.67352091199475
chrX	121500	0.00023105027594219
chrX	122000	0.155226823921348
chrX	122500	1.66908113807273e-07
chrX	123000	3.10290006353679
chrX	123500	0.000135775395487393
chrX	124000	0.101752751646318
chrX	124500	3.85627373889549
chrX	125000	3.45358634496458e-06
chrX	125500	0.00813153271211979
chrX	126000	1.31924488985463e-06
chrX	126500	0.821027715620771
chrX	127000	1.26607731419478
chrX	127500	0.029396817256801
chrX	128000	0.00021082035621461
chrX	128500	8.61724383117817e-10
chrX	129000	1.43767169813531
chrX	129500	1.36535535836508
chrX	130000	3.85040748410862
chrX	130500	0.000335504544713456
chrX	131000	0.00249480671693862
chrX	131500	0.00198704993607241
chrX	132000	0.395091000934339
chrX	132500	4.48161333580109e-05
chrX	133000	7.98745608209191
chrX	133500	0.775333070048504
chrX	134000	0.00268718176414841
chrX	134500	0.815932212734876
chrX	135000	0.000403215360923383
chrX	135500	0.000114266386522325
chrX	136000	0.0497328208350908
chrX	136500	0.000403740795761492
chrX	137000	0.00599969908318544
chrX	137500	2.22449305322719
chrX	138000	0.840722358843677
chrX	138500	1.18326323017241e-06
chrX	139000	0.0118685197131962
chrX	139500	0.788752261785201
chrX	140000	0.000214320339283536
chrX	140500	3.22673632521747e-07
chrX	141000	1.57636909907844e-05
chrX	141500	3.58180097231113
chrX	142000	1.47589296186127e-05
chrX	142500	0.12710695078978
chrX	143000	0.0175004049273387
chrX	143500	6.67949387737039e-08
chrX	144000	0.000988754277698313
chrX	144500	0.248939372150817
chrX	145000	0.000548413199358158
chrX	145500	0.237913814388802
chrX	146000	8.23385086014815
chrX	146500	0.00615118859774768
chrX	147000	1.1937049417423e-09
chrX	147500	0.0201421597144708
chrX	148000	0.0219060342800571
chrX	148500	2.5424591099697
chrX	149000	0.00248790980056827
chrX	149500	1.48383967795907
chrX	150000	0.096820973912597
chrX	150500	8.18170275248736e-05
chrX	151000	0.259050059569112
chrX	151500	0.0211975058877039
chrX	152000	0.389550473825918
chrX	152500	7.60995062592512e-13
chrX	153000	1.35232616938694e-07
chrX	153500	2.27726101284336e-11
chrX	154000	2.42012643914746
chrX	154500	3.87067218264801e-15
chrX	155000	1.75038205125517e-14
chrX	155500	9.99410430165746e-12
chrX	156000	1.1136967990642e-11
chrX	156500	0.681216743892577
chrX	157000	0.00764733569470425
chrX	157500	0.0116264075191375
chrX	158000	0.266882348816258
chrX	158500	1.54208847149081e-05
chrX	159000	5.80154838850595
